Type,Category,Romanized,Variants,Cantonese,Mandarin,English,needs_review
phrase,Business terminology,zap lap,,執笠,,To close down / To go bankrupt,False
phrase,Company,cat zai,,七仔,,"Literally means ""Seven"" son; 7-Eleven",False
phrase,Company,daai zau dim,,大酒店,,Literally means Big hotel; 1.) - Hongkong and Shanghai Hotels. 2.) - Funeral home,False
phrase,Company,gai gei,,雞記,,"Etymology: 雞 (Chicken) + 記 (""meaningless suffix""); KFC restaurant",False
phrase,Company,lou din,,老電,,"Etymology: 老 (""old"", ""elder"" or ""ancient"") + 電 (Literally means ""Electricity"" or ""Tele-""; PCCW",False
phrase,Company,m gei,,M記,,McDonald's,False
phrase,Criminal terminology,baak fan,,白粉,,Literally means White Powder; Heroin,False
phrase,Criminal terminology,baau gaak,,爆格,,"Sound like English word, ""burglar""; Burglary",False
phrase,Criminal terminology,ceot caak,,出冊,,"Etymology: 出 (""means Exit"") + 冊 (Chinese character looks like jail frame);To be released from prison",False
phrase,Criminal terminology,ceot maau,,出貓,,Literally means Exiting cat; Cheating in examination,False
phrase,Criminal terminology,daa ho baau,,打荷包,,Pickpocketing,False
phrase,Criminal terminology,deoi cou,,隊草,,Literally to take grass / weed; Cannabis smoking,False
phrase,Criminal terminology,gaam dan,,監躉,,Prisoner or ex-Prisoner,False
phrase,Criminal terminology,hoi pin,,開片,,Literally to start filming; Gang fight with weapons,False
phrase,Criminal terminology,jap caak,,入冊,,"Etymology: 入 (""means Enter"") + 冊 (Chinese character looks like jail frame); To be imprisoned",False
phrase,Criminal terminology,leon daai mai,,輪大米,,Literally to queue for rice; Gang rape,False
phrase,Criminal terminology,lou lap,,老笠,,"Etymology: 老 (""meaningless prefix"") + 笠 (Sound like English word ""rob""); Robbery",False
phrase,Criminal terminology,maa jip,,孖葉,,Literally means Double leaves; Handcuffs,False
phrase,Criminal terminology,ngau juk gon,,牛肉乾,,Literally means Dehydrated beef; Fixed penalty parking ticket,False
