Type,Category,Romanized,Variants,Cantonese,Mandarin,English,needs_review
phrase,,hai mai,hai mai gah,係咪,是不是,is it / isn't it (yes-no question particle),False
phrase,,ho charm,,好charm,好有个人魅力,,False
phrase,,ho ging,,好勁,好厉害,,False
phrase,,ho hurng,,好香,,,False
phrase,,ho leng,,好靚,好漂亮,,False
phrase,,ho mm horyi,,可唔可以,可不可以,,False
phrase,,ho qq,,好得意,好可以,so cute,False
phrase,,lan hoi,,躝開,滚开,fuck off,False
phrase,,lo best,老best,老best,老朋友/最好的朋友,,False
phrase,,marn marn,,慢慢,慢慢来,,False
phrase,,mm gup,,唔急,不急,,False
phrase,,mm sik,,唔識,不会/不认识,dun understand / dun know,False
phrase,,mm yat ding,,唔一定,不一定,,False
phrase,,molly yau,,冇理由,没理由,,False
phrase,,polly shum,,玻璃心,玻璃心,,False
phrase,,sik farn,,食飯,吃饭,,False
phrase,,siu din,,少癲,有点离谱,a little crazy/off; go-to reaction phrase for shocking or unbelievable news,False
phrase,,siu siu,,少少,一点点,a little,False
phrase,,siu sum,,小心,小心,,False
phrase,,sun fu sai,,辛苦曬,,,False
phrase,,tse tse,,謝謝,谢谢,thanks,False
phrase,,wui mm wui,,會唔會,会不会,,False
phrase,,yi wai,yiwei,以為,以为,,False
phrase,,ying goi,,應該,,,False
token,Football,bo,,波,,"Literally means wave, but sounds like the English word ""ball""; Ball or Football",False
token,Foul language,diu,,屌 / 𨳒,,Fuck,False
token,Love and Sex,gai,,雞,,Literally means Chicken; Female sex worker,False
token,Love and Sex,ngaap,,鴨,,Literally means Duck; Male prostitution or Gigolo,False
token,Unit of Money,cou,,草,,Literally means Grass; 10 Dollars,False
token,Unit of Money,gau,,嚿,,Literally means Piece; 100 Dollars,False
token,Unit of Money,kau,,球,,"Literally means Ball; 1,000,000 Dollars",False
token,Unit of Money,lap,,粒,,"Literally means Skin, Granular, Basin or sink-shaped respectively; 10,000 Dollars",False
token,Unit of Money,man,,蚊,,Literally means Mosquito; Dollar,False
token,Unit of Money,pei,,皮,,"Literally means Skin, Granular, Basin or sink-shaped respectively; 10,000 Dollars",False
token,activity,facial,,做facial,做美容,facial treatment,False
token,activity,shopping,,去shopping,去购物,shopping,False
token,adj,arm,,啱,對,correct,False
token,adj,gin,ging,勁,厉害,awesome,False
token,adj,gwai,,貴,貴,expensive,False
token,adj,jeng,mm7,正,很棒,great,False
token,adj,lek,,叻,聰明,smart,False
token,adj,leng,,靚,漂亮,pretty,False
token,adj,peng,,平,便宜,cheap,False
token,adjective,fit,,fit D,更健康,fit,True
token,adjective,hit,,hit,流行,popular,True
token,adjective,inch,,inch,嚣张,arrogant,True
token,adjective,sharp,,sharp,时尚/醒目,stylish,True
token,adjective,smart,,smart,聪明/时尚,smart,True
token,adjective,top,,top,顶级,top,True
token,adjective,upset,,upset,不开心,upset,True
token,adv,dor,,多,多,more,False
token,adverb,dou,,都,都,also,False
token,en,check,,check,检查,check,True
token,en,hi,,hi,嗨,hello,True
token,en,mind,,mind,介意,mind,True
token,en,oj,ok,OK,好的,okay,True
token,en,sorry,,sorry,对不起,sorry,True
token,expression,cc,,看看,看一看,take a look,False
token,expression,cc,,（笑聲）,（笑）,haha / hehe,False
token,expression,see,,see,明白,understand,True
token,expression,thanks,thx,thanks,謝謝,thanks,True
token,expression,yeah,,yeah,是的,yeah,True
token,modal,ho,,可,可以,can / okay,False
token,modal,wui,,會,會,will,False
token,noun,band,,band,乐队,band,True
token,noun,bbq,,BBQ,烧烤,barbecue,True
token,noun,case,,case,案例,case,True
token,noun,cash,,cash,现金,cash,True
token,noun,cast,,cast,演员阵容,cast,True
token,noun,fans,,fans,粉丝,fans,True
token,noun,file,,file,文件,file,True
token,noun,partner,,partner,伙伴,partner,True
token,noun,party,,party,派对,party,True
token,noun,percent,,percent,百分比,percent,True
token,noun,pose,,pose,姿势,pose,True
token,particle,ah,,啊,啊,(ending),False
token,particle,baa,,吧,吧,(suggestion),False
token,particle,ga,gah,㗎,的,(emphasis),False
token,particle,ge,,嘅,的,(particle),False
token,particle,gum,,咁,这样,like this,False
token,particle,hai,,係,是,yes/is,False
token,particle,ho,hou,好,好,good,False
token,particle,jeh,,姐,而已,only,False
token,particle,la,"laa,lah",啦,啦,(particle),False
token,particle,lo,lor,囉,囉,(particle),False
token,particle,m,mm,唔,不,not,False
token,particle,mah,meh,咩,吗,(question),False
token,particle,wo,wor,喎,喎,(hearsay),False
token,phrase,打band,,打band,合奏,play music together,False
token,phrase,收band,,收band,结束,end/finish,False
token,phrase,開band,,開band,开始,start (music/action),False
token,profanity,diu,,diu,操,,True
token,profanity,l,,Leng,,,True
token,profanity,sldpk,,笑L到坡街,我操笑死我了,"(textspeak, vulgar/euphemistic) laughing so hard you could trip and fall on the street; several joking character renderings exist (e.g. 少年的拼勁, 笑撚到仆街, 成龍打保錡) since it's a phonetic/backronym pun, not a fixed written word",False
token,pronoun,keoi,kui,佢,他/她,he/she,False
token,pronoun,nei,,你,你,you,False
token,pronoun,ngo,,我,我,I/me,False
token,shortform,compu,,compu,电脑,computer,True
token,shortform,pro,,pro,专业,professional,True
token,shortform,quali,,quali,资格,qualification,True
token,shortform,u,入u,入U,上大学,university,False
token,shortform,un,,un,明白,understand,True
token,slang,1999,,一舊舊,,code-mixed number slang used to express slurred/exaggerated speech,False
token,slang,6uo,,,,internet slang mixing numbers and English letters,True
token,slang,ceoi,,脆,脆（Threads的香港花名）,Threads (the social media app; HK nickname),False
token,slang,cls,,痴撚線,疯了,crazy,False
token,slang,diu,,屌,操,fuck,False
token,slang,fuk,,伏,,something of questionable or misleading quality,False
token,slang,gg,,,,"""game over"", used when something goes terribly wrong",True
token,slang,hea,,hea,混,chill lazily,True
token,slang,kam,,尷,,"awkward; cringe, weird, gives you the ick (short for 尷尬)",False
token,slang,keng,,,,telling exaggerated or unbelievable stories,True
token,slang,lam,,,,describes someone extremely clingy in relationships,True
token,slang,lau meng,,留名,留名,bookmark / mark my presence (in a thread/post),False
token,slang,on9,,戇鳩,傻瓜,idiot,False
token,slang,pk,,,,a rude or troublesome person who annoys others,True
token,slang,sei lo,,死佬,死鬼老公,(affectionate/mocking) husband,False
token,slang,siumai,,燒賣,,a silly or goofy person (named after the dim sum dish),False
token,state,cheap,,cheap cheap 地,很便宜/低质,cheap,False
token,state,high,,high high 地,很兴奋,excited,False
token,time,jau,,就,就,then,False
token,time,joi,,再,再,again,False
token,time,sin,,先,先,first,False
token,time,tnt,,今晚,今晚,tonight,False
token,verb,bei,,俾,給,give,False
token,verb,duc,duk,得,可以,can,False
token,verb,duk,,篤,戳,poke / tap,False
token,verb,gong,,講,說,speak,False
token,verb,hea,,嘥 / hea,休息/混,chill lazily,False
token,verb,heoi,hui,去,去,go,False
token,verb,keep,,keep,保持,keep,True
token,verb,maai,,買,買,buy,False
token,verb,mo,mou,冇,没有,not have,False
token,verb,pak,,拍,拍,take photo,False
token,verb,sik,,識,懂,know,False
token,verb,tai,,睇,看,look,False
token,verb,yau,,有,有,have,False
token,work,o.t.,,開O.T.,加班,overtime,False
token,俚语,chur到盡,,chur到盡,拼尽全力做某事,to exploit something until depletion,False
token,俚语,hea,,係咁意,隨便,do it half-heartedly,False
token,俚语,jm9,,做乜,干嘛,what the hell,False
token,俚语,mk,,mk妹,潮人,trendy girl (also used adjectivally for a tacky/try-hard-trendy Mong Kok-style look),False
token,俚语,mud9,,乜9,什么鬼,wtf,False
token,俚语,m巾,,姨媽巾,卫生巾,sanitary napkin,False
token,俚语,shiba,,西八,西八,damn it,False
token,俚语,sls,,笑撚死,笑死,lol,False
token,俚语,射波,,射波,翘课，请假,take leave on purpose / skip work or class for personal reasons,False
token,动词,cc,,睇睇,看一看,take a look,False
token,动词,chur,,消耗能量、資源,,to exhaust; to exploit,False
token,动词,chut,,出,出,go out,False
token,动词,fan,,返,回,return,False
token,动词,jap,,食,吃,eat,False
token,动词,yurk,,約,约,date/go out,False
token,动词,zip,,摺,折叠,fold,False
token,基本词,dik,,的,的,(possessive particle),False
token,基本词,mah,,嗎,吗,(question particle),False
token,常用句,nvm,,無所謂,无所谓,never mind,False
token,形容词,ci,,似,像,similar,False
token,形容词,minghin,,明顯,明显,obvious,False
token,日常,daiga,,大家,大家,everyone,False
token,日常,jaijai,,仔仔,男生,boy,False
token,疑问词,dim,,點,怎麼樣,how,False
token,补充,da,,打,打,hit/do,False
token,补充,gen,,梗,一定,surely,False
token,补充,guo,,過,过,(experience),False
token,补充,horneng,,可能,可能,maybe,False
token,补充,horyi,,可以,可以,can,False
token,补充,jor,,咗,了,(past tense),False
token,补充,ju,,住,着,(continuous),False
token,补充,lei,,嚟,来,come,False
token,补充,liu,,了,了,(completed),False
token,补充,mei,,未,还没,not yet,False
token,补充,mon,,屏幕,屏幕,screen,False
token,语气词,gua,,掛,吧,huh,False
token,语气词,gua,,啩,,,False
token,语气词,har,,吓,啊？,huh,False
token,,7tau,7tou,柒頭,,,False
token,,aa,,AA,A錢,go dutch,True
token,,b4,,之前,之前,,False
token,,c9,,師奶,阿婆,,False
token,,chau,,臭,,,False
token,,cheng,,請,,,False
token,,chill,,放鬆/舒服,放松/舒服,,False
token,,chur到爆,,超級忙,超级忙,,False
token,,cuz,,因為,因为,because,False
token,,din,,癲,,,False
token,,ding,,定係,還是,,False
token,,ding,,頂,靠,damn / f*ck (mild profanity/exclamation of frustration),False
token,,dou,,到/都,都,,False
token,,dukham,,得閒,有空,free / have time,False
token,,fan,,瞓,睡觉,sleep,False
token,,flop,,失敗/表現差,搞砸/失败/表现差,,False
token,,gao,,搞,,,False
token,,gei,,幾,几,,False
token,,har,,吓？,啥,,False
token,,icic,,我明白了,我明白了,,False
token,,jap,,jap,吃,,True
token,,jhgg,,即係咁講,意思就是,,False
token,,ks,,其實,其实,,False
token,,lan,,躝,,,False
token,,lei,,來,来,,False
token,,lun,,撚（髒話）,,,False
token,,mat,,乜,什么,what,False
token,,mic,,咪,麦克风,microphone,False
token,,mnyy,,must need 要有,,must need,False
token,,ofc,,當然,當然,of course,False
token,,ootd,,今日穿搭,今日穿搭,outfit of the day,False
token,,piu,,漂,漂染,,False
token,,pua,,情緒操控,情绪操控,emotional manipulation,False
token,,shiba,,西巴（韩语骂人的词语）,西巴（韩语骂人的词语）,,False
token,,shrg,,想,想,,False
token,,tai,,太,太,,False
token,,teng,,聽,听,listen,False
token,,tim,,添,还,also,False
token,,yam,,飲,喝,drink,False
token,,yum,,好食,好吃,yummy,False
token,,zau,,走,走,leave,False
token,,ze,,啫,而已,only,False
token,,zhongyiu,,仲要,还要,,False
token,,zihai,jac hai,即係,就是,so / that means / in other words,False
token,,zo,,做,做,do,False
token,,入pool,,開始拍拖,开始谈恋爱,,False
token,,冇mood,,冇mood,没心情/没情绪,,False
token,,冇晒face,,冇晒菲士,没面子,,False
token,,出pool,,脫單,脱单，找到对象,,False
token,,摆pose,,摆pose,摆姿势,,False
token,,蛋tart,,蛋挞,蛋挞,egg tart,False
token,,車呔,,車呔,轮胎,tyre,False
token,campus,tut,,tutorial,,tutorial (small-group class),False
token,campus,adp,,加/退選期,,add-drop period,False
token,campus,reg,,註冊/報名,,register / registration,False
token,campus,asm,,功課,,assignment,False
token,campus,prof,,教授,,professor,False
token,campus,rn,,而家,,right now,False
token,campus,tn,,今晚,,tonight,False
token,campus,leng grade,,靚grade,容易拿A的课,good grade course,False
token,campus,cc,,Common Core,,Common Core (university course category),True
phrase,MTR station,kennedy town,,堅尼地城,堅尼地城,Kennedy Town MTR station,False
phrase,MTR station,sai ying pun,,西營盤,西營盤,Sai Ying Pun MTR station,False
phrase,MTR station,sheung wan,,上環,上環,Sheung Wan MTR station,False
token,MTR station,central,,中環,中環,Central MTR station,False
token,MTR station,admiralty,,金鐘,金鐘,Admiralty MTR station,False
phrase,MTR station,wan chai,,灣仔,灣仔,Wan Chai MTR station,False
phrase,MTR station,causeway bay,,銅鑼灣,銅鑼灣,Causeway Bay MTR station,False
phrase,MTR station,tin hau,,天后,天后,Tin Hau MTR station,False
phrase,MTR station,fortress hill,,炮台山,炮台山,Fortress Hill MTR station,False
phrase,MTR station,north point,,北角,北角,North Point MTR station,False
phrase,MTR station,quarry bay,,鰂魚涌,鰂魚涌,Quarry Bay MTR station,False
phrase,MTR station,tai koo,,太古,太古,Tai Koo MTR station,False
phrase,MTR station,sai wan ho,,西灣河,西灣河,Sai Wan Ho MTR station,False
phrase,MTR station,shau kei wan,,筲箕灣,筲箕灣,Shau Kei Wan MTR station,False
phrase,MTR station,heng fa chuen,,杏花邨,杏花邨,Heng Fa Chuen MTR station,False
phrase,MTR station,chai wan,,柴灣,柴灣,Chai Wan MTR station,False
token,MTR station,jordan,,佐敦,佐敦,Jordan MTR station,False
phrase,MTR station,yau ma tei,,油麻地,油麻地,Yau Ma Tei MTR station,False
phrase,MTR station,prince edward,,太子,太子,Prince Edward MTR station,False
phrase,MTR station,sham shui po,,深水埗,深水埗,Sham Shui Po MTR station,False
phrase,MTR station,cheung sha wan,,長沙灣,長沙灣,Cheung Sha Wan MTR station,False
phrase,MTR station,lai chi kok,,荔枝角,荔枝角,Lai Chi Kok MTR station,False
phrase,MTR station,mei foo,,美孚,美孚,Mei Foo MTR station,False
phrase,MTR station,lai king,,荔景,荔景,Lai King MTR station,False
phrase,MTR station,kwai fong,,葵芳,葵芳,Kwai Fong MTR station,False
phrase,MTR station,kwai hing,,葵興,葵興,Kwai Hing MTR station,False
phrase,MTR station,tai wo hau,,大窩口,大窩口,Tai Wo Hau MTR station,False
phrase,MTR station,tsuen wan,,荃灣,荃灣,Tsuen Wan MTR station,False
token,MTR station,whampoa,,黃埔,黃埔,Whampoa MTR station,False
phrase,MTR station,ho man tin,,何文田,何文田,Ho Man Tin MTR station,False
phrase,MTR station,shek kip mei,,石硤尾,石硤尾,Shek Kip Mei MTR station,False
phrase,MTR station,kowloon tong,,九龍塘,九龍塘,Kowloon Tong MTR station,False
phrase,MTR station,lok fu,,樂富,樂富,Lok Fu MTR station,False
phrase,MTR station,wong tai sin,,黃大仙,黃大仙,Wong Tai Sin MTR station,False
phrase,MTR station,diamond hill,,鑽石山,鑽石山,Diamond Hill MTR station,False
phrase,MTR station,choi hung,,彩虹,彩虹,Choi Hung MTR station,False
phrase,MTR station,kowloon bay,,九龍灣,九龍灣,Kowloon Bay MTR station,False
phrase,MTR station,ngau tau kok,,牛頭角,牛頭角,Ngau Tau Kok MTR station,False
phrase,MTR station,kwun tong,,觀塘,觀塘,Kwun Tong MTR station,False
phrase,MTR station,lam tin,,藍田,藍田,Lam Tin MTR station,False
phrase,MTR station,yau tong,,油塘,油塘,Yau Tong MTR station,False
phrase,MTR station,tiu keng leng,,調景嶺,調景嶺,Tiu Keng Leng MTR station,False
phrase,MTR station,hang hau,,坑口,坑口,Hang Hau MTR station,False
phrase,MTR station,po lam,,寶琳,寶琳,Po Lam MTR station,False
phrase,MTR station,hong kong,,香港,香港,Hong Kong MTR station,False
token,MTR station,kowloon,,九龍,九龍,Kowloon MTR station,False
token,MTR station,olympic,,奧運,奧運,Olympic MTR station,False
phrase,MTR station,nam cheong,,南昌,南昌,Nam Cheong MTR station,False
phrase,MTR station,tsing yi,,青衣,青衣,Tsing Yi MTR station,False
phrase,MTR station,sunny bay,,欣澳,欣澳,Sunny Bay MTR station,False
phrase,MTR station,tung chung,,東涌,東涌,Tung Chung MTR station,False
phrase,MTR station,disneyland resort,,迪士尼,迪士尼,Disneyland Resort MTR station,False
token,MTR station,airport,,機場,機場,Airport MTR station,False
token,MTR station,asiaworld-expo,,博覽館,博覽館,Asiaworld-Expo MTR station,False
phrase,MTR station,exhibition centre,,會展,會展,Exhibition Centre MTR station,False
phrase,MTR station,hung hom,,紅磡,紅磡,Hung Hom MTR station,False
phrase,MTR station,mong kok east,,旺角東,旺角東,Mong Kok East MTR station,False
phrase,MTR station,tai wai,,大圍,大圍,Tai Wai MTR station,False
phrase,MTR station,sha tin,,沙田,沙田,Sha Tin MTR station,False
phrase,MTR station,fo tan,,火炭,火炭,Fo Tan MTR station,False
token,MTR station,racecourse,,馬場,馬場,Racecourse MTR station,False
token,MTR station,university,,大學,大學,University MTR station,False
phrase,MTR station,tai po market,,大埔墟,大埔墟,Tai Po Market MTR station,False
phrase,MTR station,tai wo,,太和,太和,Tai Wo MTR station,False
token,MTR station,fanling,,粉嶺,粉嶺,Fanling MTR station,False
phrase,MTR station,sheung shui,,上水,上水,Sheung Shui MTR station,False
phrase,MTR station,lo wu,,羅湖,羅湖,Lo Wu MTR station,False
phrase,MTR station,lok ma chau,,落馬洲,落馬洲,Lok Ma Chau MTR station,False
token,MTR station,tko,,將軍澳,將軍澳,Tseung Kwan O MTR station,False
token,MTR station,tst,,尖沙咀,尖沙咀,Tsim Sha Tsui MTR station,False
token,MTR station,lohas,,康城,康城,LOHAS Park MTR station,False
token,MTR station,hku,,香港大學,香港大學,HKU (station & university),False
token,university,poly,polyu,香港理工大學,香港理工大學,PolyU (Hong Kong Polytechnic University),False
token,university,ust,,香港科技大學,香港科技大學,HKUST (Hong Kong University of Science and Technology),False
token,MTR station,mk,,旺角,旺角,Mong Kok MTR station,True
phrase,campus,ging guo,,勁過,考試/成績很好(GPA≥3.0，也用作打氣語),doing great / GPA>=3.0 (also used as an exam-time greeting),False
phrase,campus,tui guo,,頹過,勉強及格(GPA 2-2.9),passed with a mediocre GPA (2.0-2.9),False
phrase,campus,m guo,,唔過,不及格(GPA過低未能過關),failed to pass (GPA below the passing threshold),False
phrase,campus,guo saam,,過三,GPA高於3,GPA above 3.0,False
phrase,campus,baau sei,,爆四,GPA接近或等於4(近滿分),GPA near or at 4.0 (near-perfect),False
phrase,campus,tin dei tong,,天地堂,一日之內課堂間隔極長,class schedule with a huge gap between classes on the same day,False
token,campus,zong,,莊,大學學會/學生會的內閣,"student society/union's committee (""cabinet"")",False
phrase,campus,soeng zong,,上莊,擔任學會/學生會幹事,serve as an officer in a student society/union,False
phrase,campus,zong jau,,莊友,同屆學會幹事,fellow officers of the same committee,False
phrase,campus,ziu zong,,招莊,招募下一屆幹事,recruiting the next committee,False
phrase,campus,king zong,,傾莊,商討來年學會計劃,discuss next year's plans for the committee,False
phrase,campus,zyun zong,,轉莊,新舊幹事交接,handover between old and new committee,False
phrase,campus,lok zong,,落莊,幹事任期結束卸任,stepping down after a committee term,False
token,campus,se,,蛇,非宿生偷偷留宿,a non-resident secretly staying overnight in a dorm,False
phrase,campus,wat se,,屈蛇,非宿生偷偷留宿(動詞),to secretly stay overnight in a dorm as a non-resident,False
phrase,campus,jyun jyun se,,鴛鴦蛇,偷偷留宿異性宿舍,secretly staying overnight in an opposite-gender dorm,False
phrase,campus,daa se,,打蛇,校方巡查非法留宿,dorm staff checking for illegal overnight stayers,False
phrase,campus,teoi jau,,頹友,無心向學、只求合格的人,"someone who doesn't study seriously, just aims to pass",False
phrase,campus,zip jau,,摺友,不參加社交、只顧自己的人,someone who avoids socializing and stays in their own world,False
phrase,campus,zip laa baa,,摺拉把,經常躲圖書館溫書、不參加活動的人,"someone always in the library studying, never joining activities",False
phrase,campus,saat jan wong,,殺人王,評分極嚴苛的老師,a professor who grades extremely harshly,False
phrase,campus,saat sau,,殺手,評分極嚴苛的老師(同殺人王),a professor who grades extremely harshly (same as 殺人王),False
token,campus,nds,,NDS,內地生(取普通話拼音Nei Di Sheng),mainland Chinese student,False
token,campus,psp,,PSP,內地生(Putonghua Speaking People),mainland Chinese student (Putonghua Speaking People),False
phrase,campus,chiu sin,,超仙,大四學長,4th-year senior student,False
phrase,campus,daai sin,,大仙,大三學長,3rd-year senior student,False
phrase,campus,sai sin,,細仙,大二學長,2nd-year senior student,False
phrase,campus,lou gwai,,老鬼,已畢業的學生(尤指前任幹事),"a graduated alum, especially a former committee officer",False
phrase,campus,free rider,,Free Rider,小組作業中不負責任的組員,a group project member who doesn't contribute,False
token,campus,sem,,Sem,學期(Semester),semester,False
phrase,campus,teoi faan,,頹飯,大學飯堂低價但質素差的飯餐,"cheap, low-quality canteen meal",False
phrase,campus,saat pei,,撻皮,做事散漫不積極,"careless, lazy attitude towards responsibilities",False
phrase,campus,bj zai,,BJ仔,博盡仔，拼盡全力做事的人,"someone who gives their all-out effort (""博盡仔"")",False
token,campus,bjmf,,BJMF,搏盡無悔，全力以赴無悔,"""all-out effort, no regrets"" (""搏盡無悔"")",False
token,campus,su,,SU,學生會(Student Union),Student Union,False
token,campus,hall,,Hall,大學宿舍,university dormitory,False
phrase,campus,laai baa,,拉把,圖書館(取library的libra發音),"library (from the ""libra"" part of ""library"")",False
phrase,campus,gau can,,舊Can,舊飯堂(相對新飯堂而言),the older canteen (as opposed to a newer one),False
phrase,campus,san can,,新Can,新落成的飯堂,a newly built canteen,False
phrase,campus,fresh grad,,Fresh Grad,剛畢業的大學生,a recently graduated university student,False
token,campus,freshman,,Freshman,新入學的大一學生,a first-year university student,False
