Type,Category,Romanized,Variants,Cantonese,Mandarin,English,Source
phrase,Others,hou daai,,好歹,,"As adverb, Whatever",wikipedia:Hong_Kong_slanguage
phrase,Others,mou laa laa,,無啦啦,,"As adverb, Out of the blue (Suddenly and unexpectedly)",wikipedia:Hong_Kong_slanguage
phrase,Others,sat ging mou san,,失驚無神,,"As adverb, Out of the blue (Suddenly and unexpectedly)",wikipedia:Hong_Kong_slanguage
phrase,Others,or si fat han,,"屎忽痕, Literally means buttocks itch.",,"As adverb, Out of the blue (Suddenly and unexpectedly)",wikipedia:Hong_Kong_slanguage
phrase,Others,pou tau,,蒲頭,,To appear,wikipedia:Hong_Kong_slanguage
phrase,Others,put laang seoi,,潑冷水,,Literally to pour cold water on somebody or something; To dampen somebody's enthusiasm / to put a damper on something / discourage someone from doing something,wikipedia:Hong_Kong_slanguage
phrase,Others,sou zau si,,蘇州屎,,Literally means Suzhou feaces; Hot potato,wikipedia:Hong_Kong_slanguage
phrase,Others,fei lou,,肥佬,,"Literally means ""fat man"" but sounds like English word ""fail""; Failing an examination",wikipedia:Hong_Kong_slanguage
phrase,Others,jyut ging post,,月經Post,,,wikipedia:Hong_Kong_slanguage
phrase,Others,jyut ging tip,,月經帖,,,wikipedia:Hong_Kong_slanguage
phrase,Others,dou baak tau pin,,賭白頭片,,To bet money on something or to gamble while not having enough money to pay if one loses,wikipedia:Hong_Kong_slanguage
