Type,Category,Romanized,Variants,Cantonese,Mandarin,English,Source
phrase,Business terminology,zap lap,,執笠,,To close down / To go bankrupt,wikipedia:Hong_Kong_slanguage
phrase,Unit of Money,hou zi,,毫子,,10 Cents,wikipedia:Hong_Kong_slanguage
token,Unit of Money,man,,蚊,,Literally means Mosquito; Dollar,wikipedia:Hong_Kong_slanguage
token,Unit of Money,cou,,草,,Literally means Grass; 10 Dollars,wikipedia:Hong_Kong_slanguage
token,Unit of Money,gau,,嚿,,Literally means Piece; 100 Dollars,wikipedia:Hong_Kong_slanguage
token,Unit of Money,pei,,皮,,"Literally means Skin, Granular, Basin or sink-shaped respectively; 10,000 Dollars",wikipedia:Hong_Kong_slanguage
token,Unit of Money,lap,,粒,,"Literally means Skin, Granular, Basin or sink-shaped respectively; 10,000 Dollars",wikipedia:Hong_Kong_slanguage
phrase,Unit of Money,or pun,,盤,,"Literally means Skin, Granular, Basin or sink-shaped respectively; 10,000 Dollars",wikipedia:Hong_Kong_slanguage
token,Unit of Money,kau,,球,,"Literally means Ball; 1,000,000 Dollars",wikipedia:Hong_Kong_slanguage
phrase,Unit of Money,cing haai,,青蟹,,Literally means Green crab; Hong Kong ten-dollar note (issued in 1982-85 by HSBC),wikipedia:Hong_Kong_slanguage
phrase,Unit of Money,faa haai,,花蟹,,Literally means Flower crab; Hong Kong ten-dollar note (issued in 2002-2005 by Hong Kong government),wikipedia:Hong_Kong_slanguage
phrase,Unit of Money,gaau haai,,膠蟹,,"Literally means Plastic crab; Hong Kong ten-dollar note (issued in 2007-2018 by Hong Kong government, made of polymer)",wikipedia:Hong_Kong_slanguage
phrase,Unit of Money,hung saam jyu,,紅衫魚,,Literally means Red clothes fish (Nemipterus virgatus); Hong Kong one hundred-dollar note (red colour),wikipedia:Hong_Kong_slanguage
phrase,Unit of Money,daai ngau,,大牛,,Literally means Big Buffalo; Hong Kong five hundred-dollar note,wikipedia:Hong_Kong_slanguage
phrase,Unit of Money,gam ngau,,金牛,,Literally means Golden Cow; Hong Kong one thousand-dollar note,wikipedia:Hong_Kong_slanguage
phrase,Department,caai gun,,差館,,Police station,wikipedia:Hong_Kong_slanguage
phrase,Department,lou lim,,老廉,,"Etymology: 老 (""meaningless prefix"") + 廉 (廉潔 means incorruptible); ICAC",wikipedia:Hong_Kong_slanguage
phrase,Department,lau gei,,柳記,,Hong Kong Correctional Services Department (CSD),wikipedia:Hong_Kong_slanguage
phrase,Department,o gei,,O記,,Organised Crime and Triad Bureau (OCTB) of Hong Kong Police Force,wikipedia:Hong_Kong_slanguage
phrase,Criminal terminology,baak fan,,白粉,,Literally means White Powder; Heroin,wikipedia:Hong_Kong_slanguage
phrase,Criminal terminology,baau gaak,,爆格,,"Sound like English word, ""burglar""; Burglary",wikipedia:Hong_Kong_slanguage
phrase,Criminal terminology,ceot caak,,出冊,,"Etymology: 出 (""means Exit"") + 冊 (Chinese character looks like jail frame);To be released from prison",wikipedia:Hong_Kong_slanguage
phrase,Criminal terminology,ceot maau,,出貓,,Literally means Exiting cat; Cheating in examination,wikipedia:Hong_Kong_slanguage
phrase,Criminal terminology,daa ho baau,,打荷包,,Pickpocketing,wikipedia:Hong_Kong_slanguage
phrase,Criminal terminology,deoi cou,,隊草,,Literally to take grass / weed; Cannabis smoking,wikipedia:Hong_Kong_slanguage
phrase,Criminal terminology,gaam dan,,監躉,,Prisoner or ex-Prisoner,wikipedia:Hong_Kong_slanguage
phrase,Criminal terminology,hoi pin,,開片,,Literally to start filming; Gang fight with weapons,wikipedia:Hong_Kong_slanguage
phrase,Criminal terminology,jap caak,,入冊,,"Etymology: 入 (""means Enter"") + 冊 (Chinese character looks like jail frame); To be imprisoned",wikipedia:Hong_Kong_slanguage
phrase,Criminal terminology,leon daai mai,,輪大米,,Literally to queue for rice; Gang rape,wikipedia:Hong_Kong_slanguage
phrase,Criminal terminology,lou lap,,老笠,,"Etymology: 老 (""meaningless prefix"") + 笠 (Sound like English word ""rob""); Robbery",wikipedia:Hong_Kong_slanguage
phrase,Criminal terminology,maa jip,,孖葉,,Literally means Double leaves; Handcuffs,wikipedia:Hong_Kong_slanguage
phrase,Criminal terminology,ngau juk gon,,牛肉乾,,Literally means Dehydrated beef; Fixed penalty parking ticket,wikipedia:Hong_Kong_slanguage
phrase,Criminal terminology,sai tau teng,,洗頭艇,,"Literally means Shampoo boat; Illegal high-speed ferry, a sea transportation tool crossing border without official immigration procedure",wikipedia:Hong_Kong_slanguage
phrase,Criminal terminology,sai taai ping dei,,洗太平地,,Literally means hose washing of public places; To disrupt a business of Triad Society or illegal gangs by regular patrolling or spot checking,wikipedia:Hong_Kong_slanguage
phrase,Criminal terminology,san jau si,,身有屎,,Literally means Feces on the body; Skeleton in the closet,wikipedia:Hong_Kong_slanguage
phrase,Criminal terminology,si piu,,撕票,,To Kill the kidnappee,wikipedia:Hong_Kong_slanguage
phrase,Criminal terminology,sik sei maau,,食死貓,,Literally to eat a dead cat; To be a Scapegoat,wikipedia:Hong_Kong_slanguage
phrase,Criminal terminology,tiu fui,,跳灰,,"Literally means Jumping ash (Running powder); Drug trafficking, especially for Heroin",wikipedia:Hong_Kong_slanguage
phrase,Criminal terminology,zau fan,,走粉,,"Literally means Jumping ash (Running powder); Drug trafficking, especially for Heroin",wikipedia:Hong_Kong_slanguage
phrase,Criminal terminology,tong sei ngau,,劏死牛,,"Literally to butcher a dead cow; To rob somebody in quiet place, especially in night time",wikipedia:Hong_Kong_slanguage
phrase,Criminal terminology,zap si,,執屍,,Literally means collect or take a corpse; To rape drunk or unconscious female,wikipedia:Hong_Kong_slanguage
phrase,Criminal terminology,zek zau,,隻揪,,One-against-one fight,wikipedia:Hong_Kong_slanguage
phrase,Criminal terminology,zoek cou,,著草,,Literally to wear grass; To flee,wikipedia:Hong_Kong_slanguage
phrase,Criminal terminology,zuk wong goek gai,,捉黃腳雞,,Literally to catch yellow-foot chicken; Badger game,wikipedia:Hong_Kong_slanguage
phrase,Gun,kuk cek,,曲尺,,Literally means Crooker-ruler; Semi-automatic pistol,wikipedia:Hong_Kong_slanguage
phrase,Gun,zo leon,,左輪,,Literally means left-wheel-gun; Revolver,wikipedia:Hong_Kong_slanguage
phrase,Foods and Drinks,baak tong,,白湯,,Literally means White soup; Chowder or Cream of mushroom soup,wikipedia:Hong_Kong_slanguage
phrase,Foods and Drinks,daan daat,,蛋撻,,Egg tart,wikipedia:Hong_Kong_slanguage
phrase,Foods and Drinks,gai daan zai,,雞蛋仔,,Literally means Chicken egg-son; Egg waffle,wikipedia:Hong_Kong_slanguage
phrase,Foods and Drinks,ho laan seoi,,荷蘭水,,Literally means Dutch water; Carbonated water or Soft drink,wikipedia:Hong_Kong_slanguage
phrase,Foods and Drinks,hung tong,,紅湯,,Literally means Red soup; Borscht,wikipedia:Hong_Kong_slanguage
phrase,Foods and Drinks,min zi,,免治,,"Sound like the English word ""Mince""; Mincing",wikipedia:Hong_Kong_slanguage
phrase,Foods and Drinks,ngai gwaa,,矮瓜,,Literally means Short melon; Aubergine (Eggplant),wikipedia:Hong_Kong_slanguage
phrase,Foods and Drinks,waan jyu,,鯇魚,,Grass carp,wikipedia:Hong_Kong_slanguage
phrase,Steak cooking levels,jat sing suk,,一成熟,,Literally means 10% cooked; Rare,wikipedia:Hong_Kong_slanguage
phrase,Steak cooking levels,saam sing suk,,三成熟,,Literally means 30% cooked; Medium rare,wikipedia:Hong_Kong_slanguage
phrase,Steak cooking levels,ng sing suk,,五成熟,,Literally means 50% cooked; Medium,wikipedia:Hong_Kong_slanguage
